2.4263e-01	1.4681e+00
2.4454e-01	1.5141e+00
2.4648e-01	1.5626e+00
2.4845e-01	1.6134e+00
2.5046e-01	1.6667e+00
2.5249e-01	1.7224e+00
2.5456e-01	1.7804e+00
2.5667e-01	1.8407e+00
2.5881e-01	1.9030e+00
2.6098e-01	1.9670e+00
2.6319e-01	2.0326e+00
2.6544e-01	2.0992e+00
2.6773e-01	2.1664e+00
2.7006e-01	2.2336e+00
2.7243e-01	2.3003e+00
2.7484e-01	2.3658e+00
2.7729e-01	2.4294e+00
2.7979e-01	2.4905e+00
2.8233e-01	2.5483e+00
2.8492e-01	2.6023e+00
2.8756e-01	2.6519e+00
2.9025e-01	2.6968e+00
2.9299e-01	2.7366e+00
2.9578e-01	2.7712e+00
2.9862e-01	2.8005e+00
3.0152e-01	2.8246e+00
3.0447e-01	2.8436e+00
3.0749e-01	2.8578e+00
3.1056e-01	2.8675e+00
3.1370e-01	2.8732e+00
3.1690e-01	2.8751e+00
3.2017e-01	2.8738e+00
3.2350e-01	2.8697e+00
3.2691e-01	2.8631e+00
3.3039e-01	2.8544e+00
3.3394e-01	2.8441e+00
3.3757e-01	2.8324e+00
3.4128e-01	2.8197e+00
3.4507e-01	2.8062e+00
3.4895e-01	2.7922e+00
3.5291e-01	2.7779e+00
3.5697e-01	2.7635e+00
3.6112e-01	2.7492e+00
3.6537e-01	2.7352e+00
3.6971e-01	2.7216e+00
3.7417e-01	2.7084e+00
3.7873e-01	2.6959e+00
3.8341e-01	2.6841e+00
3.8820e-01	2.6730e+00
3.9311e-01	2.6629e+00
3.9815e-01	2.6536e+00
4.0332e-01	2.6453e+00
4.0863e-01	2.6380e+00
4.1408e-01	2.6318e+00
4.1967e-01	2.6266e+00
4.2542e-01	2.6226e+00
4.3133e-01	2.6196e+00
4.3740e-01	2.6178e+00
4.4365e-01	2.6172e+00
4.5008e-01	2.6176e+00
4.5670e-01	2.6193e+00
4.6351e-01	2.6221e+00
4.7054e-01	2.6260e+00
4.7777e-01	2.6310e+00
4.8524e-01	2.6372e+00
4.9294e-01	2.6444e+00
5.0089e-01	2.6528e+00
5.0910e-01	2.6621e+00
5.1759e-01	2.6724e+00
5.2636e-01	2.6837e+00
5.3543e-01	2.6959e+00
5.4482e-01	2.7090e+00
5.5455e-01	2.7229e+00
5.6463e-01	2.7375e+00
5.7509e-01	2.7528e+00
5.8594e-01	2.7688e+00
5.9720e-01	2.7853e+00
6.0891e-01	2.8023e+00
6.2109e-01	2.8198e+00
6.3376e-01	2.8377e+00
6.4697e-01	2.8558e+00
6.6073e-01	2.8742e+00
6.7509e-01	2.8928e+00
6.9009e-01	2.9116e+00
7.0577e-01	2.9305e+00
7.2218e-01	2.9496e+00
7.3938e-01	2.9687e+00
7.5741e-01	2.9879e+00
7.7634e-01	3.0073e+00
7.9624e-01	3.0268e+00
8.1719e-01	3.0466e+00
8.3927e-01	3.0667e+00
8.6258e-01	3.0872e+00
8.8723e-01	3.1081e+00
9.1332e-01	3.1298e+00
9.4099e-01	3.1522e+00
9.7039e-01	3.1755e+00
1.0017e+00	3.2001e+00
1.0351e+00	3.2259e+00
1.0708e+00	3.2534e+00
1.1090e+00	3.2826e+00
1.1500e+00	3.3140e+00
1.1943e+00	3.3478e+00
1.2420e+00	3.3843e+00
1.2938e+00	3.4239e+00
1.3500e+00	3.4671e+00
1.4114e+00	3.5142e+00
1.4785e+00	3.5659e+00
1.5524e+00	3.6227e+00
1.6341e+00	3.6854e+00
1.7249e+00	3.7547e+00
1.8263e+00	3.8318e+00
1.9404e+00	3.9179e+00
2.0697e+00	4.0144e+00
2.2175e+00	4.1232e+00
2.3880e+00	4.2468e+00
2.5869e+00	4.3881e+00
2.8219e+00	4.5514e+00
3.1040e+00	4.7420e+00
3.4486e+00	4.9676e+00
3.8794e+00	5.2393e+00
4.4331e+00	5.5736e+00
5.1712e+00	5.9969e+00
6.2042e+00	6.5538e+00
7.7529e+00	7.3282e+00
1.0332e+01	8.4990e+00
